State,zipcode,Mean Income,Estimated Investments,Home_Value
AL,35651,"53,962.50",4917,"232,662"
AL,35652,"73,318.09","28,186","248,118"
AL,35653,"53,891.03","26,224","159,495"
AL,35654,"50,756.69","10,854","175,803"
AL,35660,"48,771.39","20,997","126,622"
AL,35661,"82,676.51","43,390","243,423"
AL,35670,"67,381.98","21,189","236,860"
AL,35671,"60,721.50",10262,"273,587"
AL,35672,"61,563.67","9,314","204,770"
AL,35673,"64,995.97","10,669","242,510"
AL,35674,"68,745.12","25,540","191,978"
AL,35677,"58,492.96",10817,"180,022"
AL,35739,"66,086.12","12,416","244,595"
AL,35740,"52,234.59",9053,"136,517"
AL,35741,"146,264.80","169,251","411,109"
AL,35744,"55,100.98",5275,"195,645"
AL,35746,"49,961.77",1118,
AL,35747,"75,504.17","22,962","283,780"
AL,35748,"121,169.65","55,068","298,897"
AL,35749,"84,271.65","23,429","303,668"
AL,35750,"65,783.77","13,184","247,178"
AL,35752,"58,570.59",7859,"187,827"
AL,35754,"66,594.47","28,374","235,307"
AL,35755,"74,612.50",20063,"320,703"
AL,35756,"109,539.33","33,769","382,385"
AL,35757,"91,049.32","31,771","341,382"
AL,35758,"112,432.53","74,227","367,710"
AL,35759,"87,223.29","20,023","324,185"
AL,35760,"67,787.78","16,262","191,482"
AL,35761,"80,360.58","23,302","281,833"
AL,35763,"133,939.81","80,071","427,099"
AL,35764,"45,050.00",3083,
AL,35765,"55,253.74",4327,"190,823"
AL,35768,"58,771.55","40,201","165,051"
AL,35769,"88,826.11","78,686","258,809"
AL,35771,"54,791.28",5812,"196,777"
AL,35772,"52,610.11","11,854","166,778"
AL,35773,"67,918.11","13,830","257,806"
AL,35775,"51,107.14",1500,
AL,35776,"58,247.26",8863,"190,964"
AL,35801,"158,534.25","232,655","370,036"
AL,35802,"122,231.28","172,893","343,072"
AL,35803,"94,850.31","69,697","299,886"
AL,35805,"38,582.98","5,560","150,342"
AL,35806,"90,469.85","49,363","349,786"
AL,35808,"105,074.36",48564,
AL,35810,"42,255.01","11,135","160,786"
AL,35811,"81,914.99","32,883","267,496"
AL,35816,"37,007.43","7,703","147,476"
AL,35824,"98,705.47","36,809","372,980"
AL,35901,"73,778.14","62,165","146,030"
AL,35903,"51,106.78","10,240","125,208"
AL,35904,"46,657.63","12,828","98,746"
AL,35905,"62,189.78","14,679","198,590"
AL,35906,"67,117.86","33,429","235,588"
AL,35907,"80,710.44","28,573","259,720"
AL,35950,"52,807.06","20,256","193,478"
AL,35951,"53,894.48","15,680","207,192"
AL,35952,"54,717.01","9,278","193,456"
AL,35953,"67,158.86","23,595","244,203"
AL,35954,"48,787.08","8,117","131,595"
AL,35956,"59,290.74","11,852","210,361"
AL,35957,"52,388.43","18,484","193,865"
AL,35958,"61,645.45",7008,"204,580"
AL,35959,"59,039.39","22,586","250,602"
AL,35960,"63,237.22","38,089","212,716"
AL,35961,"48,251.53",6865,"191,658"
AL,35962,"48,651.75",6042,"188,782"
AL,35963,"48,542.86",3800,"191,482"
AL,35966,"58,091.11",6948,"203,507"
AL,35967,"56,415.75","41,804","186,843"
AL,35968,"66,920.61","45,561","214,967"
AL,35971,"52,934.81",9934,"194,840"
AL,35972,"61,178.72",3277,"212,857"
AL,35973,"54,518.10",6571,"201,314"
AL,35974,"49,381.33",7893,"190,232"
AL,35975,"61,300.00",10054,"229,531"
AL,35976,"90,522.88","77,146","284,232"
AL,35978,"64,669.48","14,516","196,659"
AL,35979,"55,378.00",520,"204,673"
AL,35980,"50,288.61",5723,"211,909"
AL,35981,"53,532.50",3575,"193,499"
AL,35983,"61,982.80","20,318","235,455"
